metric,raw_vs_gt,filtered_vs_gt,improvement
precision,0.9828529057373251,0.9940654250699604,0.01121251933263534
recall,0.5084144411948027,0.32927394479870864,-0.17914049639609408
f1,0.6701636857738735,0.49468768383014994,-0.1754760019437236
iou,0.503944491968444,0.32862793887772357,-0.17531655309072047
accuracy,0.5192520265291083,0.353798206828789,-0.1654538197003193
kappa,0.04393985687294278,0.03188659167709146,-0.012053265195851322
tp,31812.0,20603.0,
fp,555.0,123.0,
fn,30759.0,41968.0,
tn,2010.0,2442.0,
